City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,zaozersk,69.4005,32.4476,-0.6,93,99,8.14,RU,1712871713
156,saint-pierre,-21.3393,55.4781,25.82,73,0,2.06,RE,1712871713
157,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712871713
158,marquette,46.5333,-87.6335,9.69,69,100,2.74,US,1712871713
159,pavlovsk,50.4578,40.1081,20.22,53,97,1.62,RU,1712871713
160,tindouf,27.6711,-8.1474,29.25,10,0,2.06,DZ,1712871599
161,ancud,-41.8697,-73.8203,12.04,68,0,1.83,CL,1712871714
162,sandnessjoen,66.0217,12.6316,2.06,80,40,0.51,NO,1712871714
163,nagqu,31.5,92.0,-1.99,53,100,3.74,CN,1712871714
164,san blas,21.5167,-105.2667,38.94,64,100,2.7,MX,1712871714
165,huntsville,34.7304,-86.5861,13.63,93,100,8.75,US,1712871480
166,mbeya,-8.9,33.45,15.54,95,93,1.84,TZ,1712871714
167,zyryanovsk,49.7386,84.2719,0.56,97,100,0.71,KZ,1712871714
168,fale old settlement,-9.3852,-171.2468,29.55,76,23,3.81,TK,1712871714
169,rongelap,11.1635,166.8941,26.91,80,100,9.15,MH,1712871521
170,okakarara,-20.5833,17.4333,19.81,39,11,3.28,NA,1712871714
171,cill airne,52.05,-9.5167,11.65,98,100,2.42,IE,1712871714
172,margaret river,-33.95,115.0667,11.57,88,5,5.25,AU,1712871714
173,turbat,26.0023,63.044,26.64,50,11,1.51,PK,1712871714
174,fort bragg,35.139,-79.006,22.33,86,100,7.72,US,1712871714
175,vila velha,-20.3297,-40.2925,27.97,82,20,1.54,BR,1712871566
176,ballinasloe,53.3275,-8.2194,12.3,95,100,6.88,IE,1712871714
177,yaren,-0.5472,166.916,28.19,81,100,3.61,NR,1712871714
178,gurghiu,46.7667,24.85,17.14,72,97,1.6,RO,1712871715
179,lihue,21.9789,-159.3672,26.58,82,100,4.12,US,1712871715
180,invercargill,-46.4,168.35,8.9,87,100,0.89,NZ,1712871701
181,qamdo,31.1667,97.2333,-2.26,58,35,2.24,CN,1712871715
182,tiksi,71.6872,128.8694,-26.88,95,22,5.38,RU,1712871715
183,baie-comeau,49.2168,-68.1489,1.82,87,100,6.69,CA,1712871669
184,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.7,RU,1712871715
185,bhadra,29.1167,75.1667,26.22,22,94,3.01,IN,1712871715
186,tralee,52.2704,-9.7026,11.78,97,100,2.59,IE,1712871715
187,sitka,57.0531,-135.33,6.94,65,20,5.14,US,1712871537
188,newman,37.3138,-121.0208,29.6,48,21,1.34,US,1712871715
189,sinabang,2.4803,96.3801,26.45,85,98,1.6,ID,1712871715
190,el granada,37.5027,-122.4694,30.51,70,0,8.23,US,1712871545
191,mahebourg,-20.4081,57.7,26.81,88,40,1.54,MU,1712871715
192,nizhnesortymskiy,62.4397,71.7603,-9.5,91,100,11.58,RU,1712871716
193,aasiaat,68.7098,-52.8699,-5.9,91,99,1.94,GL,1712871716
194,mukalla,14.5425,49.1242,25.9,75,73,1.34,YE,1712871599
195,afaahiti,-17.75,-149.2833,29.93,86,98,7.48,PF,1712871716
196,santa cruz,-17.8,-63.1667,27.03,65,75,4.63,BO,1712871468
197,filey,54.21,-0.2892,15.44,87,100,5.36,GB,1712871716
198,selfoss,63.9331,-20.9971,3.36,98,100,3.04,IS,1712871716
199,kalinkavichy,52.1323,29.3257,9.12,67,6,3.19,BY,1712871716
200,conduaga,8.862,117.4893,23.53,87,40,1.35,PH,1712871716
201,east london,-33.0153,27.9116,15.82,63,44,6.96,ZA,1712871716
202,cabras,39.93,8.5314,9.68,76,92,2.81,IT,1712871716
203,udachny,66.4167,112.4,-28.08,100,100,2.06,RU,1712871716
204,la passe,45.5549,-0.8967,14.13,93,40,3.26,FR,1712871716
205,bikenibeu village,1.3673,173.1241,29.98,74,40,2.06,KI,1712871716
206,kosan,38.8558,127.4181,10.58,78,0,3.15,KP,1712871716
207,tsiombe,-25.3,45.4833,20.38,87,93,2.11,MG,1712871716
208,kuhdasht,33.535,47.6061,9.51,76,13,1.18,IR,1712871716
209,talghar,43.3044,77.2328,8.03,71,75,2.0,KZ,1712871716
210,sinop,41.7711,34.8709,9.7,91,33,1.49,TR,1712871717
211,tuburan,6.6439,122.2736,26.05,79,72,2.27,PH,1712871717
212,rawatsar,29.2833,74.3833,25.92,17,91,2.93,IN,1712871717
213,bor,56.3567,44.0669,9.96,65,4,2.95,RU,1712871717
214,qaqortoq,60.7167,-46.0333,-6.33,87,63,1.01,GL,1712871717
215,taulaga,-11.0553,-171.0883,29.93,74,33,4.08,AS,1712871717
216,dzhangala,49.2167,50.3333,13.51,52,36,4.26,KZ,1712871717
217,qacha's nek,-30.1154,28.6894,2.91,72,0,0.31,LS,1712871717
218,la ronge,55.1001,-105.2842,7.12,52,40,2.57,CA,1712871717
219,axim,4.8699,-2.2405,26.95,80,100,0.88,GH,1712871717
220,aberdeen,57.1437,-2.0981,13.63,79,100,4.63,GB,1712871717
221,sao vicente,-23.9631,-46.3919,26.1,70,100,1.03,BR,1712871655
222,buka,40.8108,69.1986,16.15,74,100,2.75,UZ,1712871660
223,kerikeri,-35.2268,173.9474,20.51,90,58,3.15,NZ,1712871717
224,shingu,33.7333,135.9833,14.2,84,100,3.67,JP,1712871717
225,floro,61.5996,5.0328,8.04,87,100,8.23,NO,1712871717
226,papatowai,-46.5619,169.4708,7.65,86,100,2.2,NZ,1712871718
227,port saint john's,-31.6229,29.5448,15.39,65,9,5.9,ZA,1712871718
228,kuanda,56.3161,116.0806,-6.29,91,48,0.63,RU,1712871718
229,lompoc,34.6391,-120.4579,22.69,72,0,5.66,US,1712871718
230,inongo,-1.95,18.2667,24.57,86,94,0.48,CD,1712871718
231,badger,64.8,-147.5333,6.14,51,75,3.09,US,1712871718
232,namibe,-15.1961,12.1522,22.68,72,0,2.55,AO,1712871718
233,wuxue,29.8506,115.5525,18.27,97,94,2.09,CN,1712871718
234,mao,39.8885,4.2658,14.31,77,0,4.12,ES,1712871718
235,south upi,6.8333,124.15,22.23,78,89,1.69,PH,1712871718
236,hasaki,35.7333,140.8333,14.05,79,100,5.81,JP,1712871718
237,sibolga,1.7427,98.7792,24.59,88,100,1.46,ID,1712871719
238,banda aceh,5.5577,95.3222,26.88,78,97,1.86,ID,1712871459
